kylian mbappe,"{'Total': 7, 'Num_Correct': 5, 'Num_Wrong': 1}"
mohamed salah,"{'Total': 3, 'Num_Correct': 2, 'Num_Wrong': 0}"
pedri,"{'Total': 8, 'Num_Correct': 6, 'Num_Wrong': 1}"
robert lewandowski,"{'Total': 10, 'Num_Correct': 9, 'Num_Wrong': 0}"
marcus rashford,"{'Total': 5, 'Num_Correct': 4, 'Num_Wrong': 1}"
erling haaland,"{'Total': 6, 'Num_Correct': 5, 'Num_Wrong': 0}"
bruno fernandes,"{'Total': 10, 'Num_Correct': 9, 'Num_Wrong': 0}"
romelu lukaku,"{'Total': 9, 'Num_Correct': 8, 'Num_Wrong': 0}"
memphis depay,"{'Total': 5, 'Num_Correct': 4, 'Num_Wrong': 0}"
cristiano ronaldo,"{'Total': 8, 'Num_Correct': 7, 'Num_Wrong': 0}"
Model,dlib
DataSource,FBREF
DistanceMetric,cosine
Accuracy,75/83 -- 0.9036144578313253

harry kane,"{'Total': 5, 'Num_Correct': 3, 'Num_Wrong': 1}"
lionel messi,"{'Total': 12, 'Num_Correct': 9, 'Num_Wrong': 2}"
manuel neuer,"{'Total': 7, 'Num_Correct': 5, 'Num_Wrong': 1}"
kylian mbappe,"{'Total': 7, 'Num_Correct': 5, 'Num_Wrong': 1}"
mohamed salah,"{'Total': 3, 'Num_Correct': 2, 'Num_Wrong': 0}"
pedri,"{'Total': 8, 'Num_Correct': 7, 'Num_Wrong': 0}"
robert lewandowski,"{'Total': 10, 'Num_Correct': 9, 'Num_Wrong': 0}"
marcus rashford,"{'Total': 5, 'Num_Correct': 4, 'Num_Wrong': 1}"
erling haaland,"{'Total': 6, 'Num_Correct': 5, 'Num_Wrong': 0}"
bruno fernandes,"{'Total': 10, 'Num_Correct': 9, 'Num_Wrong': 0}"
romelu lukaku,"{'Total': 9, 'Num_Correct': 7, 'Num_Wrong': 1}"
memphis depay,"{'Total': 5, 'Num_Correct': 3, 'Num_Wrong': 1}"
cristiano ronaldo,"{'Total': 8, 'Num_Correct': 7, 'Num_Wrong': 0}"
Model,dlib
DataSource,FBREF
DistanceMetric,euclidean
Accuracy,75/83 -- 0.9036144578313253

